PParent,Parent,Device ID,ObjectName,x,y,z,stripSize
Group 1,Outer_Section_1,hb-b827ebc16898,2_1 LED 1,0,0,0,12
Group 1,Outer_Section_1,hb-b827ebc16898,2_1 LED 2,10,0,0,12
Group 1,Outer_Section_1,hb-b827ebc16898,2_1 LED 3,20,0,0,12
Group 1,Outer_Section_1,hb-b827ebc16898,2_1 LED 4,30,0,0,12
Group 1,Outer_Section_1,hb-b827ebc16898,2_1 Speaker 1,15,0,0,12
Group 1,Outer_Section_1,hb-b827ebc16898,2_1 Speaker 2,25,0,0,12
Group 1,Outer_Section_2,hb-b827eb30d7fa,2_1 LED 1,40,0,0,12
Group 1,Outer_Section_2,hb-b827eb30d7fa,2_1 LED 2,50,0,0,12
Group 1,Outer_Section_2,hb-b827eb30d7fa,2_1 LED 3,60,0,0,12
Group 1,Outer_Section_2,hb-b827eb30d7fa,2_1 LED 4,70,0,0,12
Group 1,Outer_Section_2,hb-b827eb30d7fa,2_1 Speaker 1,55,0,0,12
Group 1,Outer_Section_2,hb-b827eb30d7fa,2_1 Speaker 2,65,0,0,12
Group 1,Outer_Section_2,hb-b827eb535bb6,2_1 LED 1,80,0,0,12
Group 1,Outer_Section_2,hb-b827eb535bb6,2_1 LED 2,90,0,0,12
Group 1,Outer_Section_2,hb-b827eb535bb6,2_1 LED 3,100,0,0,12
Group 1,Outer_Section_2,hb-b827eb535bb6,2_1 LED 4,110,0,0,12
Group 1,Outer_Section_2,hb-b827eb535bb6,2_1 Speaker 1,95,0,0,12
Group 1,Outer_Section_2,hb-b827eb535bb6,2_1 Speaker 2,105,0,0,12
Group 1,Outer_Section_1,hb-b827eb54904d,2_1 LED 1,120,0,0,12
Group 1,Outer_Section_1,hb-b827eb54904d,2_1 LED 2,130,0,0,12
Group 1,Outer_Section_1,hb-b827eb54904d,2_1 LED 3,140,0,0,12
Group 1,Outer_Section_1,hb-b827eb54904d,2_1 LED 4,150,0,0,12
Group 1,Outer_Section_1,hb-b827eb54904d,2_1 Speaker 1,135,0,0,12
Group 1,Outer_Section_1,hb-b827eb54904d,2_1 Speaker 2,145,0,0,12
